GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,2022200046,142,1628035,Alfonzo McKinnie,1612709931,Ciudad de Mexico Capitanes,1,0,39,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-15,20,1,1,20230103,MHU,MXC
Shot Chart Detail,2022200054,98,1628035,Alfonzo McKinnie,1612709931,Ciudad de Mexico Capitanes,1,5,1,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,11,16,1,1,20230105,MXC,OKL
Shot Chart Detail,2022200054,279,1628035,Alfonzo McKinnie,1612709931,Ciudad de Mexico Capitanes,2,3,38,Made Shot,Layup Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,106,17,1,1,20230105,MXC,OKL
Shot Chart Detail,2022200054,288,1628035,Alfonzo McKinnie,1612709931,Ciudad de Mexico Capitanes,2,2,47,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,1,1,1,20230105,MXC,OKL
Shot Chart Detail,2022200054,416,1628035,Alfonzo McKinnie,1612709931,Ciudad de Mexico Capitanes,3,4,52,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,6,20,1,1,20230105,MXC,OKL
Shot Chart Detail,2022200061,299,1628035,Alfonzo McKinnie,1612709931,Ciudad de Mexico Capitanes,2,1,58,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,134,229,1,1,20230106,MXC,OKL
Shot Chart Detail,2022200061,518,1628035,Alfonzo McKinnie,1612709931,Ciudad de Mexico Capitanes,4,6,43,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,4,1,1,20230106,MXC,OKL
Shot Chart Detail,2022200080,83,1628035,Alfonzo McKinnie,1612709931,Ciudad de Mexico Capitanes,1,5,12,Made Shot,Driving Bank Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,48,33,1,1,20230108,GLI,MXC
Shot Chart Detail,2022200080,121,1628035,Alfonzo McKinnie,1612709931,Ciudad de Mexico Capitanes,1,2,0,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,72,254,1,1,20230108,GLI,MXC
Shot Chart Detail,2022200080,141,1628035,Alfonzo McKinnie,1612709931,Ciudad de Mexico Capitanes,1,0,43,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,13,138,11,1,1,20230108,GLI,MXC
