GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,2022200009,258,1631344,Caio Pacheco,1612709931,Ciudad de Mexico Capitanes,2,4,31,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-32,20,1,1,20221228,MXC,SLC
Shot Chart Detail,2022200046,115,1631344,Caio Pacheco,1612709931,Ciudad de Mexico Capitanes,1,2,55,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,229,67,1,1,20230103,MHU,MXC
Shot Chart Detail,2022200054,260,1631344,Caio Pacheco,1612709931,Ciudad de Mexico Capitanes,2,5,2,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,125,232,1,1,20230105,MXC,OKL
Shot Chart Detail,2022200061,10,1631344,Caio Pacheco,1612709931,Ciudad de Mexico Capitanes,1,11,11,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,-1,115,1,1,20230106,MXC,OKL
Shot Chart Detail,2022200061,32,1631344,Caio Pacheco,1612709931,Ciudad de Mexico Capitanes,1,8,58,Made Shot,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,18,41,1,1,20230106,MXC,OKL
Shot Chart Detail,2022200061,209,1631344,Caio Pacheco,1612709931,Ciudad de Mexico Capitanes,2,8,14,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,13,52,1,1,20230106,MXC,OKL
Shot Chart Detail,2022200061,251,1631344,Caio Pacheco,1612709931,Ciudad de Mexico Capitanes,2,5,9,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,234,41,1,1,20230106,MXC,OKL
Shot Chart Detail,2022200061,367,1631344,Caio Pacheco,1612709931,Ciudad de Mexico Capitanes,3,7,19,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-32,259,1,1,20230106,MXC,OKL
Shot Chart Detail,2022200061,379,1631344,Caio Pacheco,1612709931,Ciudad de Mexico Capitanes,3,6,2,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-27,259,1,1,20230106,MXC,OKL
Shot Chart Detail,2022200061,391,1631344,Caio Pacheco,1612709931,Ciudad de Mexico Capitanes,3,4,44,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-58,109,1,1,20230106,MXC,OKL
Shot Chart Detail,2022200061,405,1631344,Caio Pacheco,1612709931,Ciudad de Mexico Capitanes,3,3,11,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28,121,262,1,1,20230106,MXC,OKL
Shot Chart Detail,2022200061,642,1631344,Caio Pacheco,1612709931,Ciudad de Mexico Capitanes,5,0,0,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,3,62,1,1,20230106,MXC,OKL
Shot Chart Detail,2022200080,27,1631344,Caio Pacheco,1612709931,Ciudad de Mexico Capitanes,1,9,45,Made Shot,Cutting Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-40,8,1,1,20230108,GLI,MXC
Shot Chart Detail,2022200080,31,1631344,Caio Pacheco,1612709931,Ciudad de Mexico Capitanes,1,9,21,Made Shot,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-44,11,1,1,20230108,GLI,MXC
Shot Chart Detail,2022200080,35,1631344,Caio Pacheco,1612709931,Ciudad de Mexico Capitanes,1,8,59,Made Shot,Running Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,1,1,1,20230108,GLI,MXC
Shot Chart Detail,2022200080,40,1631344,Caio Pacheco,1612709931,Ciudad de Mexico Capitanes,1,8,26,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-214,170,1,1,20230108,GLI,MXC
Shot Chart Detail,2022200080,145,1631344,Caio Pacheco,1612709931,Ciudad de Mexico Capitanes,1,0,9,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,80,268,1,1,20230108,GLI,MXC
Shot Chart Detail,2022200080,289,1631344,Caio Pacheco,1612709931,Ciudad de Mexico Capitanes,2,3,35,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,8,1,1,20230108,GLI,MXC
Shot Chart Detail,2022200080,526,1631344,Caio Pacheco,1612709931,Ciudad de Mexico Capitanes,3,2,2,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,181,194,1,1,20230108,GLI,MXC
Shot Chart Detail,2022200104,99,1631344,Caio Pacheco,1612709931,Ciudad de Mexico Capitanes,1,2,4,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,6,1,1,20230113,MXC,AUS
Shot Chart Detail,2022200113,47,1631344,Caio Pacheco,1612709931,Ciudad de Mexico Capitanes,1,7,36,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,15,1,1,20230114,MXC,AUS
Shot Chart Detail,2022200113,68,1631344,Caio Pacheco,1612709931,Ciudad de Mexico Capitanes,1,6,10,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,37,266,1,1,20230114,MXC,AUS
Shot Chart Detail,2022200143,65,1631344,Caio Pacheco,1612709931,Ciudad de Mexico Capitanes,1,7,8,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-176,201,1,1,20230120,MXC,SCW
Shot Chart Detail,2022200143,443,1631344,Caio Pacheco,1612709931,Ciudad de Mexico Capitanes,3,9,22,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-20,88,1,1,20230120,MXC,SCW
Shot Chart Detail,2022200143,451,1631344,Caio Pacheco,1612709931,Ciudad de Mexico Capitanes,3,8,49,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-18,1,1,1,20230120,MXC,SCW
Shot Chart Detail,2022200160,18,1631344,Caio Pacheco,1612709931,Ciudad de Mexico Capitanes,1,10,44,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,184,189,1,1,20230122,MXC,SCW
Shot Chart Detail,2022200160,353,1631344,Caio Pacheco,1612709931,Ciudad de Mexico Capitanes,3,11,16,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,-8,1,1,20230122,MXC,SCW
