EVENTMSGACTIONTYPE,EVENTMSGACTIONTYPE_STRING
1,MISS 3PT JUMPSHOT
2,MISS RUNNING JUMP SHOT
3,MISS HOOK SHOT
5,MISS LAYUP
6,MISS DRIVING LAYUP
7,MISS DUNK
9,MISS DRIVING DUNK
10,MISS FREE THROW 1 OF 1
11,MISS FREE THROW 1 OF 2
12,MISS FREE THROW 2 OF 2
15,MISS FREE THROW 3 OF 3
21,MISS FREE TECHNICAL 1 OF 2
30,MISS 1PT FREE THROW
31,MISS 2PT FREE THROW
32,MISS 3PT FREE THROW
36,MISS 2PT FREE THROW FLAGRANT
38,MISS FREE TECHNICAL 1PT
41,MISS RUNNING LAYUP
44,MISS REVERSE LAYUP
47,MISS TURNAROUND JUMP SHOT
50,MISS RUNNING DUNK
52,MISS ALLEY OOP DUNK
57,MISS DRIVING HOOK SHOT
58,MISS TURNAROUND HOOK SHOT
63,MISS FADEAWAY JUMPER
66,MISS JUMP BANK SHOT
72,MISS PUTBACK LAYUP
73,MISS DRIVING REVERSE LAYUP
74,MISS RUNNING REVERSE LAYUP
75,MISS DRIVING FINGER ROLL LAYUP
76,MISS RUNNING FINGER ROLL LAYUP
78,MISS FLOATING JUMP SHOT
79,MISS PULLUP JUMP SHOT
80,MISS STEP BACK JUMP SHOT
85,MISS TURNAROUND BANK SHOT
86,MISS TURNAROUND FADEAWAY SHOT
87,MISS PUTBACK DUNK
93,MISS DRIVING BANK HOOK SHOT
96,MISS TURNAROUND BANK HOOK SHOT
97,MISS TIP LAYUP SHOT
98,MISS CUTTING LAYUP SHOT
100,MISS RUNNING ALLEY OOP LAYUP SHOT
101,MISS DRIVING FLOATING JUMP SHOT
102,MISS DRIVING FLOATING BANK JUMP SHOT
103,MISS RUNNING PULL-UP JUMP SHOT
106,MISS RUNNING ALLEY OOP DUNK
107,MISS TIP DUNK SHOT
108,MISS CUTTING DUNK SHOT
