GAME,GAME_NO,FQ,SQ,TQ,FOQ,TOTAL
CAPITANES VS. STARS,1,22,38,22,29,111
CAPITANES VS. STARS,2,37,28,32,39,136
CAPITANES VS. HUSTLE,3,32,35,28,18,113
CAPITANES VS. BLUE,4,27,22,22,27,98
CAPITANES VS. BLUE,5,28,27,27,28,8,118
CAPITANES VS. G LEAGUE IGNITE,6,37,26,40,18,121
CAPITANES VS. G LEAGUE IGNITE,7,29,43,21,29,122
CAPITANES VS. SPURS,8,33,26,31,37,127
CAPITANES VS. SPURS,9,14,29,35,13,91
CAPITANES VS. WARRIORS,10,37,22,35,32,126
CAPITANES VS. WARRIORS,11,30,27,36,35,128
CAPITANES VS. VIPERS,12,35,31,21,30,3,120
CAPITANES VS. VIPERS,13,23,34,23,16,96
CAPITANES VS. LEGENDS,14,32,26,33,29,120
CAPITANES VS. LEGENDS,15,26,29,24,35,114
CAPITANES VS. LAKERS,16,37,24,19,33,113
CAPITANES VS. MAGIC,17,30,29,29,34,122
CAPITANES VS. WOLVES,18,32,28,25,22,7,114
CAPITANES VS. HUSTLE,19,24,24,27,24,99
CAPITANES VS. WOLVES,20,25,39,34,26,124
CAPITANES VS. SKY FORCE,21,29,31,22,27,109
CAPITANES VS. CLIPPERS,22,34,20,25,17,96
CAPITANES VS. CLIPPERS,23,27,27,28,27,109
