GAME,GAME_NO,QUARTER,POINTS
CAPITANES VS. STARS,1,F,22
CAPITANES VS. STARS,1,S,38
CAPITANES VS. STARS,1,T,22
CAPITANES VS. STARS,1,FO,29
CAPITANES VS. STARS,2,F,37
CAPITANES VS. STARS,2,S,28
CAPITANES VS. STARS,2,T,32
CAPITANES VS. STARS,2,FO,39
CAPITANES VS. HUSTLE,3,F,32
CAPITANES VS. HUSTLE,3,S,35
CAPITANES VS. HUSTLE,3,T,28
CAPITANES VS. HUSTLE,3,FO,18
CAPITANES VS. BLUE,4,F,27
CAPITANES VS. BLUE,4,S,22
CAPITANES VS. BLUE,4,T,22
CAPITANES VS. BLUE,4,FO,27
CAPITANES VS. BLUE,5,F,28
CAPITANES VS. BLUE,5,S,27
CAPITANES VS. BLUE,5,T,27
CAPITANES VS. BLUE,5,FO,28
CAPITANES VS. G LEAGUE IGNITE,6,F,37
CAPITANES VS. G LEAGUE IGNITE,6,S,26
CAPITANES VS. G LEAGUE IGNITE,6,T,40
CAPITANES VS. G LEAGUE IGNITE,6,FO,18
CAPITANES VS. G LEAGUE IGNITE,7,F,29
CAPITANES VS. G LEAGUE IGNITE,7,S,43
CAPITANES VS. G LEAGUE IGNITE,7,T,21
CAPITANES VS. G LEAGUE IGNITE,7,FO,29
CAPITANES VS. SPURS,8,F,33
CAPITANES VS. SPURS,8,S,26
CAPITANES VS. SPURS,8,T,31
CAPITANES VS. SPURS,8,FO,37
CAPITANES VS. SPURS,9,F,14
CAPITANES VS. SPURS,9,S,29
CAPITANES VS. SPURS,9,T,35
CAPITANES VS. SPURS,9,FO,13
CAPITANES VS. WARRIORS,10,F,37
CAPITANES VS. WARRIORS,10,S,22
CAPITANES VS. WARRIORS,10,T,35
CAPITANES VS. WARRIORS,10,FO,32
CAPITANES VS. WARRIORS,11,F,30
CAPITANES VS. WARRIORS,11,S,27
CAPITANES VS. WARRIORS,11,T,36
CAPITANES VS. WARRIORS,11,FO,35
CAPITANES VS. VIPERS,12,F,35
CAPITANES VS. VIPERS,12,S,31
CAPITANES VS. VIPERS,12,T,21
CAPITANES VS. VIPERS,12,FO,30
CAPITANES VS. VIPERS,13,F,23
CAPITANES VS. VIPERS,13,S,34
CAPITANES VS. VIPERS,13,T,23
CAPITANES VS. VIPERS,13,FO,16
CAPITANES VS. LEGENDS,14,F,32
CAPITANES VS. LEGENDS,14,S,26
CAPITANES VS. LEGENDS,14,T,33
CAPITANES VS. LEGENDS,14,FO,29
CAPITANES VS. LEGENDS,15,F,26
CAPITANES VS. LEGENDS,15,S,29
CAPITANES VS. LEGENDS,15,T,24
CAPITANES VS. LEGENDS,15,FO,35
CAPITANES VS. LAKERS,16,F,37
CAPITANES VS. LAKERS,16,S,24
CAPITANES VS. LAKERS,16,T,19
CAPITANES VS. LAKERS,16,FO,33
CAPITANES VS. MAGIC,17,F,30
CAPITANES VS. MAGIC,17,S,29
CAPITANES VS. MAGIC,17,T,29
CAPITANES VS. MAGIC,17,FO,34
CAPITANES VS. WOLVES,18,F,32
CAPITANES VS. WOLVES,18,S,28
CAPITANES VS. WOLVES,18,T,25
CAPITANES VS. WOLVES,18,FO,22
CAPITANES VS. HUSTLE,19,F,24
CAPITANES VS. HUSTLE,19,S,24
CAPITANES VS. HUSTLE,19,T,27
CAPITANES VS. HUSTLE,19,FO,24
CAPITANES VS. WOLVES,20,F,25
CAPITANES VS. WOLVES,20,S,39
CAPITANES VS. WOLVES,20,T,34
CAPITANES VS. WOLVES,20,FO,26
CAPITANES VS. SKY FORCE,21,F,29
CAPITANES VS. SKY FORCE,21,S,31
CAPITANES VS. SKY FORCE,21,T,22
CAPITANES VS. SKY FORCE,21,FO,27
CAPITANES VS. CLIPPERS,22,F,34
CAPITANES VS. CLIPPERS,22,S,20
CAPITANES VS. CLIPPERS,22,T,25
CAPITANES VS. CLIPPERS,22,FO,17
CAPITANES VS. CLIPPERS,23,F,27
CAPITANES VS. CLIPPERS,23,S,27
CAPITANES VS. CLIPPERS,23,T,28
CAPITANES VS. CLIPPERS,23,FO,27
