Player,player_headshot
Mason Jones,https://ak-static.cms.nba.com/wp-content/uploads/headshots/gleague/260x190/1630222.png
Shabazz Napier,https://ak-static.cms.nba.com/wp-content/uploads/headshots/gleague/260x190/203894.png
Gary Clark,https://ak-static.cms.nba.com/wp-content/uploads/headshots/gleague/260x190/1629109.png
Skylar Mays,https://ak-static.cms.nba.com/wp-content/uploads/headshots/gleague/260x190/1630219.png
Rigoberto Mendoza,https://gleague.nba.com/images/silhouette-player.png
Kenneth Faried,https://gleague.nba.com/images/silhouette-player.png
Alfonzo McKinnie,https://ak-static.cms.nba.com/wp-content/uploads/headshots/gleague/260x190/1628035.png
Bruno Caboclo,https://ak-static.cms.nba.com/wp-content/uploads/headshots/gleague/260x190/203998.png
Kalob Ledoux,https://ak-static.cms.nba.com/wp-content/uploads/headshots/gleague/260x190/1629789.png
Justin Minaya,https://ak-static.cms.nba.com/wp-content/uploads/headshots/gleague/260x190/1631303.png
Caio Pacheco,https://ak-static.cms.nba.com/wp-content/uploads/headshots/gleague/260x190/1631344.png
Orlando Mendez,https://gleague.nba.com/images/silhouette-player.png
Jassel Perez,https://gleague.nba.com/images/silhouette-player.png
Tra Holder,https://ak-static.cms.nba.com/wp-content/uploads/headshots/gleague/260x190/1629789.png
Derek Culver,https://ak-static.cms.nba.com/wp-content/uploads/headshots/gleague/260x190/1630633.png
Gael Bonilla,https://gleague.nba.com/images/silhouette-player.png
Moises Andriassi,https://ak-static.cms.nba.com/wp-content/uploads/headshots/gleague/260x190/1630780.png
