GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,2022200080,114,1641566,Gael Bonilla,1612709931,Ciudad de Mexico Capitanes,1,3,0,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,7,1,1,20230108,GLI,MXC
Shot Chart Detail,2022200080,172,1641566,Gael Bonilla,1612709931,Ciudad de Mexico Capitanes,2,10,38,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20230108,GLI,MXC
Shot Chart Detail,2022200080,182,1641566,Gael Bonilla,1612709931,Ciudad de Mexico Capitanes,2,9,21,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,240,-20,1,1,20230108,GLI,MXC
Shot Chart Detail,2022200091,173,1641566,Gael Bonilla,1612709931,Ciudad de Mexico Capitanes,2,11,14,Made Shot,Running Dunk Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-15,40,1,1,20230110,GLI,MXC
Shot Chart Detail,2022200091,219,1641566,Gael Bonilla,1612709931,Ciudad de Mexico Capitanes,2,8,34,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,99,141,1,1,20230110,GLI,MXC
Shot Chart Detail,2022200091,233,1641566,Gael Bonilla,1612709931,Ciudad de Mexico Capitanes,2,7,41,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20230110,GLI,MXC
Shot Chart Detail,2022200143,150,1641566,Gael Bonilla,1612709931,Ciudad de Mexico Capitanes,1,1,45,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20230120,MXC,SCW
Shot Chart Detail,2022200143,183,1641566,Gael Bonilla,1612709931,Ciudad de Mexico Capitanes,2,11,43,Made Shot,Floating Jump shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,8,1,1,20230120,MXC,SCW
Shot Chart Detail,2022200169,89,1641566,Gael Bonilla,1612709931,Ciudad de Mexico Capitanes,1,5,19,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20230124,RGV,MXC
Shot Chart Detail,2022200169,129,1641566,Gael Bonilla,1612709931,Ciudad de Mexico Capitanes,1,2,50,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20230124,RGV,MXC
Shot Chart Detail,2022200169,232,1641566,Gael Bonilla,1612709931,Ciudad de Mexico Capitanes,2,6,42,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-9,3,1,1,20230124,RGV,MXC
Shot Chart Detail,2022200194,117,1641566,Gael Bonilla,1612709931,Ciudad de Mexico Capitanes,1,3,3,Made Shot,Reverse Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,39,9,1,1,20230128,TEX,MXC
Shot Chart Detail,2022200194,211,1641566,Gael Bonilla,1612709931,Ciudad de Mexico Capitanes,2,9,6,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,1,1,1,20230128,TEX,MXC
Shot Chart Detail,2022200194,477,1641566,Gael Bonilla,1612709931,Ciudad de Mexico Capitanes,3,2,9,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,7,38,1,1,20230128,TEX,MXC
Shot Chart Detail,2022200199,128,1641566,Gael Bonilla,1612709931,Ciudad de Mexico Capitanes,1,1,3,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,23,202,113,1,1,20230129,TEX,MXC
Shot Chart Detail,2022200210,189,1641566,Gael Bonilla,1612709931,Ciudad de Mexico Capitanes,2,9,16,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,-47,107,1,1,20230201,MXC,SBL
Shot Chart Detail,2022200251,402,1641566,Gael Bonilla,1612709931,Ciudad de Mexico Capitanes,3,3,38,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,31,82,1,1,20230209,MHU,MXC
