GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,2022200009,28,1629109,Gary Clark,1612709931,Ciudad de Mexico Capitanes,1,9,8,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,229,82,1,1,20221228,MXC,SLC
Shot Chart Detail,2022200009,47,1629109,Gary Clark,1612709931,Ciudad de Mexico Capitanes,1,7,18,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-185,177,1,1,20221228,MXC,SLC
Shot Chart Detail,2022200009,58,1629109,Gary Clark,1612709931,Ciudad de Mexico Capitanes,1,6,37,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,229,18,1,1,20221228,MXC,SLC
Shot Chart Detail,2022200009,182,1629109,Gary Clark,1612709931,Ciudad de Mexico Capitanes,2,9,49,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,13,1,1,20221228,MXC,SLC
Shot Chart Detail,2022200009,232,1629109,Gary Clark,1612709931,Ciudad de Mexico Capitanes,2,6,25,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,151,217,1,1,20221228,MXC,SLC
Shot Chart Detail,2022200009,471,1629109,Gary Clark,1612709931,Ciudad de Mexico Capitanes,3,1,44,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-228,-7,1,1,20221228,MXC,SLC
Shot Chart Detail,2022200009,504,1629109,Gary Clark,1612709931,Ciudad de Mexico Capitanes,4,11,46,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,232,98,1,1,20221228,MXC,SLC
Shot Chart Detail,2022200009,614,1629109,Gary Clark,1612709931,Ciudad de Mexico Capitanes,4,2,54,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-40,43,1,1,20221228,MXC,SLC
Shot Chart Detail,2022200023,202,1629109,Gary Clark,1612709931,Ciudad de Mexico Capitanes,2,9,23,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,174,196,1,1,20221230,MXC,SLC
Shot Chart Detail,2022200023,248,1629109,Gary Clark,1612709931,Ciudad de Mexico Capitanes,2,6,25,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,11,1,1,20221230,MXC,SLC
Shot Chart Detail,2022200023,320,1629109,Gary Clark,1612709931,Ciudad de Mexico Capitanes,2,1,3,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,228,104,1,1,20221230,MXC,SLC
Shot Chart Detail,2022200023,483,1629109,Gary Clark,1612709931,Ciudad de Mexico Capitanes,3,0,44,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,-1,1,1,20221230,MXC,SLC
Shot Chart Detail,2022200023,514,1629109,Gary Clark,1612709931,Ciudad de Mexico Capitanes,4,10,9,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,11,8,1,1,20221230,MXC,SLC
Shot Chart Detail,2022200023,527,1629109,Gary Clark,1612709931,Ciudad de Mexico Capitanes,4,8,44,Made Shot,Turnaround Bank shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,45,-3,1,1,20221230,MXC,SLC
Shot Chart Detail,2022200023,530,1629109,Gary Clark,1612709931,Ciudad de Mexico Capitanes,4,8,3,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,4,1,1,20221230,MXC,SLC
Shot Chart Detail,2022200046,129,1629109,Gary Clark,1612709931,Ciudad de Mexico Capitanes,1,2,1,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-165,205,1,1,20230103,MHU,MXC
Shot Chart Detail,2022200046,138,1629109,Gary Clark,1612709931,Ciudad de Mexico Capitanes,1,1,1,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,28,258,1,1,20230103,MHU,MXC
Shot Chart Detail,2022200046,172,1629109,Gary Clark,1612709931,Ciudad de Mexico Capitanes,2,11,0,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,2,17,1,1,20230103,MHU,MXC
Shot Chart Detail,2022200046,297,1629109,Gary Clark,1612709931,Ciudad de Mexico Capitanes,2,1,50,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20230103,MHU,MXC
Shot Chart Detail,2022200046,354,1629109,Gary Clark,1612709931,Ciudad de Mexico Capitanes,3,10,29,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-235,31,1,1,20230103,MHU,MXC
Shot Chart Detail,2022200046,386,1629109,Gary Clark,1612709931,Ciudad de Mexico Capitanes,3,7,6,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,195,17,1,1,20230103,MHU,MXC
Shot Chart Detail,2022200046,407,1629109,Gary Clark,1612709931,Ciudad de Mexico Capitanes,3,5,43,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,-33,272,1,1,20230103,MHU,MXC
Shot Chart Detail,2022200046,533,1629109,Gary Clark,1612709931,Ciudad de Mexico Capitanes,4,8,36,Made Shot,Fadeaway Bank shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,8,76,47,1,1,20230103,MHU,MXC
Shot Chart Detail,2022200046,539,1629109,Gary Clark,1612709931,Ciudad de Mexico Capitanes,4,8,15,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,172,201,1,1,20230103,MHU,MXC
Shot Chart Detail,2022200054,18,1629109,Gary Clark,1612709931,Ciudad de Mexico Capitanes,1,10,51,Made Shot,Jump Shot,3PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,21,-219,-10,1,1,20230105,MXC,OKL
Shot Chart Detail,2022200054,50,1629109,Gary Clark,1612709931,Ciudad de Mexico Capitanes,1,8,23,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,-4,1,1,20230105,MXC,OKL
Shot Chart Detail,2022200054,53,1629109,Gary Clark,1612709931,Ciudad de Mexico Capitanes,1,7,40,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,235,27,1,1,20230105,MXC,OKL
Shot Chart Detail,2022200054,58,1629109,Gary Clark,1612709931,Ciudad de Mexico Capitanes,1,7,9,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,75,250,1,1,20230105,MXC,OKL
Shot Chart Detail,2022200054,296,1629109,Gary Clark,1612709931,Ciudad de Mexico Capitanes,2,1,59,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,5,-2,1,1,20230105,MXC,OKL
Shot Chart Detail,2022200054,536,1629109,Gary Clark,1612709931,Ciudad de Mexico Capitanes,4,8,26,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-237,12,1,1,20230105,MXC,OKL
Shot Chart Detail,2022200054,595,1629109,Gary Clark,1612709931,Ciudad de Mexico Capitanes,4,3,1,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-235,25,1,1,20230105,MXC,OKL
Shot Chart Detail,2022200061,573,1629109,Gary Clark,1612709931,Ciudad de Mexico Capitanes,4,1,14,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,32,1,1,20230106,MXC,OKL
Shot Chart Detail,2022200061,606,1629109,Gary Clark,1612709931,Ciudad de Mexico Capitanes,5,0,0,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-192,194,1,1,20230106,MXC,OKL
Shot Chart Detail,2022200061,610,1629109,Gary Clark,1612709931,Ciudad de Mexico Capitanes,5,0,0,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,228,4,1,1,20230106,MXC,OKL
Shot Chart Detail,2022200080,48,1629109,Gary Clark,1612709931,Ciudad de Mexico Capitanes,1,7,35,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,18,-5,1,1,20230108,GLI,MXC
Shot Chart Detail,2022200080,285,1629109,Gary Clark,1612709931,Ciudad de Mexico Capitanes,2,4,4,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,229,-29,1,1,20230108,GLI,MXC
Shot Chart Detail,2022200080,307,1629109,Gary Clark,1612709931,Ciudad de Mexico Capitanes,2,2,44,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,206,146,1,1,20230108,GLI,MXC
Shot Chart Detail,2022200080,387,1629109,Gary Clark,1612709931,Ciudad de Mexico Capitanes,3,11,39,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-16,122,1,1,20230108,GLI,MXC
Shot Chart Detail,2022200080,404,1629109,Gary Clark,1612709931,Ciudad de Mexico Capitanes,3,10,29,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,28,202,199,1,1,20230108,GLI,MXC
Shot Chart Detail,2022200080,425,1629109,Gary Clark,1612709931,Ciudad de Mexico Capitanes,3,8,17,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,13,62,1,1,20230108,GLI,MXC
Shot Chart Detail,2022200091,17,1629109,Gary Clark,1612709931,Ciudad de Mexico Capitanes,1,10,17,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,163,208,1,1,20230110,GLI,MXC
