PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,EFF,AST_TOV,STL_TOV
1630206,1,Jay Scrubb,1612709925,LAK,21,671,170,372,0.457,48,150,0.32,55,73,0.753,23,97,120,43,20,18,49,38,479,411,0.88,0.41
1626147,2,Justin Anderson,1612709910,FWN,21,799,164,344,0.477,48,138,0.348,65,82,0.793,15,93,108,123,27,20,66,39,476,491,1.86,0.41
1630620,3,Darius Days,1612709908,RGV,19,645,168,351,0.479,70,198,0.354,28,33,0.848,59,124,183,27,18,9,24,65,451,476,1.13,0.75
1631371,4,Grant Golden,1612709917,GRG,24,874,202,350,0.577,4,14,0.286,25,32,0.781,60,207,267,128,16,8,57,55,449,656,2.25,0.28
1630268,5,Nate Darling,1612709924,ONT,21,665,163,354,0.46,69,178,0.388,36,42,0.857,12,67,79,39,20,4,39,52,447,353,1.0,0.51
1628221,6,Gabe York,1612709910,FWN,20,677,155,334,0.464,72,187,0.385,36,41,0.878,12,68,80,77,32,4,40,35,443,412,1.93,0.8
1630644,7,Mac McClung,1612709909,DEL,23,608,156,281,0.555,51,107,0.477,44,52,0.846,9,58,67,118,18,6,38,28,435,473,3.1,0.47
1631311,8,Lester Quinones,1612709902,SCW,21,684,152,340,0.447,65,180,0.361,42,52,0.808,34,115,149,106,17,3,67,74,434,444,1.58,0.25
1629875,9,Xavier Moon,1612709924,ONT,20,634,169,324,0.522,38,89,0.427,34,41,0.829,19,66,85,113,34,26,52,41,432,476,2.17,0.65
1630203,10,Grant Riller,1612709918,TEX,18,534,164,324,0.506,20,58,0.345,52,62,0.839,4,60,64,75,16,4,44,35,427,372,1.71,0.36
1629103,11,Kelan Martin,1612709913,BIR,21,656,144,303,0.475,48,120,0.4,52,55,0.945,17,58,75,61,16,7,39,36,419,377,1.56,0.41
1630637,12,Carlik Jones,1612709923,WCB,16,628,151,307,0.492,32,89,0.36,52,64,0.813,13,59,72,119,23,2,44,23,417,421,2.71,0.52
1629677,13,Luka Samanic,1612709915,MNE,18,527,156,305,0.511,48,129,0.372,30,37,0.811,34,113,147,29,21,16,44,49,415,428,0.66,0.48
1629621,14,Marial Shayok,1612709915,MNE,21,665,146,256,0.57,51,102,0.5,47,51,0.922,29,72,101,91,23,6,55,65,414,466,1.66,0.42
