GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,2022200080,281,1631358,Jassel Perez,1612709931,Ciudad de Mexico Capitanes,2,4,40,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,0,1,1,20230108,GLI,MXC
Shot Chart Detail,2022200091,108,1631358,Jassel Perez,1612709931,Ciudad de Mexico Capitanes,1,3,59,Made Shot,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,6,1,1,20230110,GLI,MXC
Shot Chart Detail,2022200091,260,1631358,Jassel Perez,1612709931,Ciudad de Mexico Capitanes,2,5,39,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,28,18,1,1,20230110,GLI,MXC
Shot Chart Detail,2022200091,269,1631358,Jassel Perez,1612709931,Ciudad de Mexico Capitanes,2,5,13,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,235,5,1,1,20230110,GLI,MXC
Shot Chart Detail,2022200091,439,1631358,Jassel Perez,1612709931,Ciudad de Mexico Capitanes,3,3,35,Made Shot,Turnaround Bank shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-54,55,1,1,20230110,GLI,MXC
Shot Chart Detail,2022200091,552,1631358,Jassel Perez,1612709931,Ciudad de Mexico Capitanes,4,7,20,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-21,17,1,1,20230110,GLI,MXC
Shot Chart Detail,2022200113,422,1631358,Jassel Perez,1612709931,Ciudad de Mexico Capitanes,3,0,29,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,7,6,1,1,20230114,MXC,AUS
Shot Chart Detail,2022200113,455,1631358,Jassel Perez,1612709931,Ciudad de Mexico Capitanes,4,10,43,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,6,1,1,20230114,MXC,AUS
Shot Chart Detail,2022200143,185,1631358,Jassel Perez,1612709931,Ciudad de Mexico Capitanes,2,11,17,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,158,200,1,1,20230120,MXC,SCW
Shot Chart Detail,2022200143,554,1631358,Jassel Perez,1612709931,Ciudad de Mexico Capitanes,3,2,4,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,17,1,1,20230120,MXC,SCW
