GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,2022200009,32,1631303,Justin Minaya,1612709931,Ciudad de Mexico Capitanes,1,8,38,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,11,1,1,20221228,MXC,SLC
Shot Chart Detail,2022200009,110,1631303,Justin Minaya,1612709931,Ciudad de Mexico Capitanes,1,2,29,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,17,1,1,20221228,MXC,SLC
Shot Chart Detail,2022200023,245,1631303,Justin Minaya,1612709931,Ciudad de Mexico Capitanes,2,6,56,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-6,21,1,1,20221230,MXC,SLC
Shot Chart Detail,2022200046,11,1631303,Justin Minaya,1612709931,Ciudad de Mexico Capitanes,1,11,23,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,18,1,1,20230103,MHU,MXC
Shot Chart Detail,2022200046,264,1631303,Justin Minaya,1612709931,Ciudad de Mexico Capitanes,2,4,28,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-15,22,1,1,20230103,MHU,MXC
Shot Chart Detail,2022200046,410,1631303,Justin Minaya,1612709931,Ciudad de Mexico Capitanes,3,5,13,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,126,226,1,1,20230103,MHU,MXC
Shot Chart Detail,2022200104,55,1631303,Justin Minaya,1612709931,Ciudad de Mexico Capitanes,1,5,27,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,15,1,1,20230113,MXC,AUS
Shot Chart Detail,2022200104,59,1631303,Justin Minaya,1612709931,Ciudad de Mexico Capitanes,1,5,13,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,16,1,1,20230113,MXC,AUS
Shot Chart Detail,2022200104,101,1631303,Justin Minaya,1612709931,Ciudad de Mexico Capitanes,1,1,42,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,31,77,1,1,20230113,MXC,AUS
Shot Chart Detail,2022200104,339,1631303,Justin Minaya,1612709931,Ciudad de Mexico Capitanes,3,7,41,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,0,1,1,20230113,MXC,AUS
Shot Chart Detail,2022200104,358,1631303,Justin Minaya,1612709931,Ciudad de Mexico Capitanes,3,6,2,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,235,25,1,1,20230113,MXC,AUS
Shot Chart Detail,2022200104,386,1631303,Justin Minaya,1612709931,Ciudad de Mexico Capitanes,3,4,27,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,0,1,1,20230113,MXC,AUS
Shot Chart Detail,2022200104,543,1631303,Justin Minaya,1612709931,Ciudad de Mexico Capitanes,4,4,59,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-224,-18,1,1,20230113,MXC,AUS
Shot Chart Detail,2022200113,75,1631303,Justin Minaya,1612709931,Ciudad de Mexico Capitanes,1,5,10,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-34,180,1,1,20230114,MXC,AUS
Shot Chart Detail,2022200113,122,1631303,Justin Minaya,1612709931,Ciudad de Mexico Capitanes,1,1,7,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-235,44,1,1,20230114,MXC,AUS
Shot Chart Detail,2022200113,166,1631303,Justin Minaya,1612709931,Ciudad de Mexico Capitanes,2,10,10,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,228,81,1,1,20230114,MXC,AUS
Shot Chart Detail,2022200113,318,1631303,Justin Minaya,1612709931,Ciudad de Mexico Capitanes,3,9,4,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,6,56,1,1,20230114,MXC,AUS
Shot Chart Detail,2022200143,62,1631303,Justin Minaya,1612709931,Ciudad de Mexico Capitanes,1,7,29,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,7,144,1,1,20230120,MXC,SCW
Shot Chart Detail,2022200143,84,1631303,Justin Minaya,1612709931,Ciudad de Mexico Capitanes,1,6,14,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,7,1,1,20230120,MXC,SCW
Shot Chart Detail,2022200143,117,1631303,Justin Minaya,1612709931,Ciudad de Mexico Capitanes,1,3,50,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-7,20,1,1,20230120,MXC,SCW
Shot Chart Detail,2022200143,523,1631303,Justin Minaya,1612709931,Ciudad de Mexico Capitanes,3,3,33,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,232,67,1,1,20230120,MXC,SCW
Shot Chart Detail,2022200143,617,1631303,Justin Minaya,1612709931,Ciudad de Mexico Capitanes,4,11,21,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-233,48,1,1,20230120,MXC,SCW
Shot Chart Detail,2022200143,735,1631303,Justin Minaya,1612709931,Ciudad de Mexico Capitanes,4,4,22,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-176,188,1,1,20230120,MXC,SCW
Shot Chart Detail,2022200160,12,1631303,Justin Minaya,1612709931,Ciudad de Mexico Capitanes,1,11,8,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,225,8,1,1,20230122,MXC,SCW
