GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,2022200009,168,202702,Kenneth Faried,1612709931,Ciudad de Mexico Capitanes,2,11,3,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-13,18,1,1,20221228,MXC,SLC
Shot Chart Detail,2022200009,262,202702,Kenneth Faried,1612709931,Ciudad de Mexico Capitanes,2,4,4,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,21,10,1,1,20221228,MXC,SLC
Shot Chart Detail,2022200009,486,202702,Kenneth Faried,1612709931,Ciudad de Mexico Capitanes,3,0,45,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20221228,MXC,SLC
Shot Chart Detail,2022200009,628,202702,Kenneth Faried,1612709931,Ciudad de Mexico Capitanes,4,1,51,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,11,0,1,1,20221228,MXC,SLC
Shot Chart Detail,2022200023,154,202702,Kenneth Faried,1612709931,Ciudad de Mexico Capitanes,1,0,11,Made Shot,Running Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,4,1,1,20221230,MXC,SLC
Shot Chart Detail,2022200023,423,202702,Kenneth Faried,1612709931,Ciudad de Mexico Capitanes,3,5,49,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20221230,MXC,SLC
Shot Chart Detail,2022200023,431,202702,Kenneth Faried,1612709931,Ciudad de Mexico Capitanes,3,4,53,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,11,1,1,20221230,MXC,SLC
Shot Chart Detail,2022200023,446,202702,Kenneth Faried,1612709931,Ciudad de Mexico Capitanes,3,3,35,Made Shot,Tip Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20221230,MXC,SLC
Shot Chart Detail,2022200023,506,202702,Kenneth Faried,1612709931,Ciudad de Mexico Capitanes,4,11,15,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-223,-10,1,1,20221230,MXC,SLC
Shot Chart Detail,2022200046,88,202702,Kenneth Faried,1612709931,Ciudad de Mexico Capitanes,1,4,37,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,15,1,1,20230103,MHU,MXC
Shot Chart Detail,2022200046,204,202702,Kenneth Faried,1612709931,Ciudad de Mexico Capitanes,2,8,40,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-45,88,1,1,20230103,MHU,MXC
Shot Chart Detail,2022200046,287,202702,Kenneth Faried,1612709931,Ciudad de Mexico Capitanes,2,2,11,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20230103,MHU,MXC
Shot Chart Detail,2022200046,392,202702,Kenneth Faried,1612709931,Ciudad de Mexico Capitanes,3,6,45,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20230103,MHU,MXC
Shot Chart Detail,2022200046,487,202702,Kenneth Faried,1612709931,Ciudad de Mexico Capitanes,3,0,5,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-48,57,1,1,20230103,MHU,MXC
Shot Chart Detail,2022200046,498,202702,Kenneth Faried,1612709931,Ciudad de Mexico Capitanes,4,11,50,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,4,1,1,20230103,MHU,MXC
Shot Chart Detail,2022200046,519,202702,Kenneth Faried,1612709931,Ciudad de Mexico Capitanes,4,9,36,Made Shot,Turnaround Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-5,30,1,1,20230103,MHU,MXC
Shot Chart Detail,2022200054,180,202702,Kenneth Faried,1612709931,Ciudad de Mexico Capitanes,2,11,6,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20230105,MXC,OKL
Shot Chart Detail,2022200054,341,202702,Kenneth Faried,1612709931,Ciudad de Mexico Capitanes,3,10,47,Made Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-1,23,1,1,20230105,MXC,OKL
Shot Chart Detail,2022200061,22,202702,Kenneth Faried,1612709931,Ciudad de Mexico Capitanes,1,10,1,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,17,1,1,20230106,MXC,OKL
Shot Chart Detail,2022200061,48,202702,Kenneth Faried,1612709931,Ciudad de Mexico Capitanes,1,7,8,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,6,1,1,20230106,MXC,OKL
Shot Chart Detail,2022200061,296,202702,Kenneth Faried,1612709931,Ciudad de Mexico Capitanes,2,2,21,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,7,9,1,1,20230106,MXC,OKL
Shot Chart Detail,2022200061,307,202702,Kenneth Faried,1612709931,Ciudad de Mexico Capitanes,2,1,12,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,8,1,1,20230106,MXC,OKL
Shot Chart Detail,2022200061,315,202702,Kenneth Faried,1612709931,Ciudad de Mexico Capitanes,2,0,12,Made Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-24,31,1,1,20230106,MXC,OKL
Shot Chart Detail,2022200061,339,202702,Kenneth Faried,1612709931,Ciudad de Mexico Capitanes,3,10,47,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-31,268,1,1,20230106,MXC,OKL
Shot Chart Detail,2022200061,351,202702,Kenneth Faried,1612709931,Ciudad de Mexico Capitanes,3,9,11,Made Shot,Turnaround Bank Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,35,17,1,1,20230106,MXC,OKL
Shot Chart Detail,2022200061,371,202702,Kenneth Faried,1612709931,Ciudad de Mexico Capitanes,3,6,40,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,9,28,1,1,20230106,MXC,OKL
