GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,2022200009,14,1630222,Mason Jones,1612709931,Ciudad de Mexico Capitanes,1,10,34,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-167,200,1,1,20221228,MXC,SLC
Shot Chart Detail,2022200009,102,1630222,Mason Jones,1612709931,Ciudad de Mexico Capitanes,1,3,16,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,11,12,1,1,20221228,MXC,SLC
Shot Chart Detail,2022200009,217,1630222,Mason Jones,1612709931,Ciudad de Mexico Capitanes,2,7,29,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,4,1,1,20221228,MXC,SLC
Shot Chart Detail,2022200009,222,1630222,Mason Jones,1612709931,Ciudad de Mexico Capitanes,2,6,58,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,18,1,1,20221228,MXC,SLC
Shot Chart Detail,2022200009,281,1630222,Mason Jones,1612709931,Ciudad de Mexico Capitanes,2,2,40,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-184,188,1,1,20221228,MXC,SLC
Shot Chart Detail,2022200009,347,1630222,Mason Jones,1612709931,Ciudad de Mexico Capitanes,3,10,57,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,9,1,1,20221228,MXC,SLC
Shot Chart Detail,2022200009,359,1630222,Mason Jones,1612709931,Ciudad de Mexico Capitanes,3,9,39,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-34,7,1,1,20221228,MXC,SLC
Shot Chart Detail,2022200009,367,1630222,Mason Jones,1612709931,Ciudad de Mexico Capitanes,3,8,33,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,11,10,1,1,20221228,MXC,SLC
Shot Chart Detail,2022200009,572,1630222,Mason Jones,1612709931,Ciudad de Mexico Capitanes,4,6,33,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,41,59,1,1,20221228,MXC,SLC
Shot Chart Detail,2022200009,585,1630222,Mason Jones,1612709931,Ciudad de Mexico Capitanes,4,5,33,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,12,6,1,1,20221228,MXC,SLC
Shot Chart Detail,2022200023,32,1630222,Mason Jones,1612709931,Ciudad de Mexico Capitanes,1,9,53,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-133,219,1,1,20221230,MXC,SLC
Shot Chart Detail,2022200023,49,1630222,Mason Jones,1612709931,Ciudad de Mexico Capitanes,1,7,50,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,16,1,1,20221230,MXC,SLC
Shot Chart Detail,2022200023,58,1630222,Mason Jones,1612709931,Ciudad de Mexico Capitanes,1,7,15,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,31,34,311,1,1,20221230,MXC,SLC
Shot Chart Detail,2022200023,77,1630222,Mason Jones,1612709931,Ciudad de Mexico Capitanes,1,5,45,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-9,2,1,1,20221230,MXC,SLC
Shot Chart Detail,2022200023,260,1630222,Mason Jones,1612709931,Ciudad de Mexico Capitanes,2,5,30,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,7,1,1,20221230,MXC,SLC
Shot Chart Detail,2022200023,269,1630222,Mason Jones,1612709931,Ciudad de Mexico Capitanes,2,4,0,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,32,27,1,1,20221230,MXC,SLC
