GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,2022200009,213,1628150,Rigoberto Mendoza,1612709931,Ciudad de Mexico Capitanes,2,7,52,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,180,188,1,1,20221228,MXC,SLC
Shot Chart Detail,2022200009,237,1628150,Rigoberto Mendoza,1612709931,Ciudad de Mexico Capitanes,2,6,7,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,13,1,1,20221228,MXC,SLC
Shot Chart Detail,2022200009,254,1628150,Rigoberto Mendoza,1612709931,Ciudad de Mexico Capitanes,2,4,54,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,234,1,1,1,20221228,MXC,SLC
Shot Chart Detail,2022200009,513,1628150,Rigoberto Mendoza,1612709931,Ciudad de Mexico Capitanes,4,11,1,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,17,76,161,1,1,20221228,MXC,SLC
Shot Chart Detail,2022200009,600,1628150,Rigoberto Mendoza,1612709931,Ciudad de Mexico Capitanes,4,4,41,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-31,39,1,1,20221228,MXC,SLC
Shot Chart Detail,2022200023,22,1628150,Rigoberto Mendoza,1612709931,Ciudad de Mexico Capitanes,1,10,22,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20221230,MXC,SLC
Shot Chart Detail,2022200023,39,1628150,Rigoberto Mendoza,1612709931,Ciudad de Mexico Capitanes,1,9,3,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,15,1,1,20221230,MXC,SLC
Shot Chart Detail,2022200023,62,1628150,Rigoberto Mendoza,1612709931,Ciudad de Mexico Capitanes,1,6,48,Made Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-42,25,1,1,20221230,MXC,SLC
Shot Chart Detail,2022200023,66,1628150,Rigoberto Mendoza,1612709931,Ciudad de Mexico Capitanes,1,6,14,Made Shot,Cutting Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,1,66,1,1,20221230,MXC,SLC
Shot Chart Detail,2022200023,377,1628150,Rigoberto Mendoza,1612709931,Ciudad de Mexico Capitanes,3,8,51,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,-5,1,1,20221230,MXC,SLC
Shot Chart Detail,2022200023,533,1628150,Rigoberto Mendoza,1612709931,Ciudad de Mexico Capitanes,4,7,35,Made Shot,Running Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-231,70,1,1,20221230,MXC,SLC
Shot Chart Detail,2022200023,570,1628150,Rigoberto Mendoza,1612709931,Ciudad de Mexico Capitanes,4,5,8,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-231,24,1,1,20221230,MXC,SLC
Shot Chart Detail,2022200023,600,1628150,Rigoberto Mendoza,1612709931,Ciudad de Mexico Capitanes,4,2,27,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,11,29,1,1,20221230,MXC,SLC
Shot Chart Detail,2022200046,15,1628150,Rigoberto Mendoza,1612709931,Ciudad de Mexico Capitanes,1,10,47,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,165,193,1,1,20230103,MHU,MXC
Shot Chart Detail,2022200046,42,1628150,Rigoberto Mendoza,1612709931,Ciudad de Mexico Capitanes,1,8,17,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,10,-60,80,1,1,20230103,MHU,MXC
