GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,2022200229,130,1630219,Skylar Mays,1612709931,Ciudad de Mexico Capitanes,1,2,5,Made Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,18,73,1,1,20230205,LAK,MXC
Shot Chart Detail,2022200229,452,1630219,Skylar Mays,1612709931,Ciudad de Mexico Capitanes,3,4,15,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,-31,269,1,1,20230205,LAK,MXC
Shot Chart Detail,2022200229,489,1630219,Skylar Mays,1612709931,Ciudad de Mexico Capitanes,3,1,51,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,28,85,269,1,1,20230205,LAK,MXC
Shot Chart Detail,2022200229,529,1630219,Skylar Mays,1612709931,Ciudad de Mexico Capitanes,4,11,8,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,1,38,1,1,20230205,LAK,MXC
Shot Chart Detail,2022200229,573,1630219,Skylar Mays,1612709931,Ciudad de Mexico Capitanes,4,7,18,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,-72,269,1,1,20230205,LAK,MXC
Shot Chart Detail,2022200229,596,1630219,Skylar Mays,1612709931,Ciudad de Mexico Capitanes,4,5,30,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,37,62,1,1,20230205,LAK,MXC
Shot Chart Detail,2022200239,151,1630219,Skylar Mays,1612709931,Ciudad de Mexico Capitanes,1,1,1,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-173,178,1,1,20230207,IWA,MXC
Shot Chart Detail,2022200239,252,1630219,Skylar Mays,1612709931,Ciudad de Mexico Capitanes,2,4,51,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-143,222,1,1,20230207,IWA,MXC
Shot Chart Detail,2022200239,256,1630219,Skylar Mays,1612709931,Ciudad de Mexico Capitanes,2,4,28,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-23,15,1,1,20230207,IWA,MXC
Shot Chart Detail,2022200239,274,1630219,Skylar Mays,1612709931,Ciudad de Mexico Capitanes,2,2,57,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-78,141,1,1,20230207,IWA,MXC
Shot Chart Detail,2022200239,383,1630219,Skylar Mays,1612709931,Ciudad de Mexico Capitanes,3,6,13,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-18,34,1,1,20230207,IWA,MXC
Shot Chart Detail,2022200239,466,1630219,Skylar Mays,1612709931,Ciudad de Mexico Capitanes,3,0,9,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,4,64,1,1,20230207,IWA,MXC
Shot Chart Detail,2022200239,484,1630219,Skylar Mays,1612709931,Ciudad de Mexico Capitanes,4,10,51,Made Shot,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-31,29,1,1,20230207,IWA,MXC
Shot Chart Detail,2022200239,592,1630219,Skylar Mays,1612709931,Ciudad de Mexico Capitanes,4,3,50,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-7,39,1,1,20230207,IWA,MXC
Shot Chart Detail,2022200239,679,1630219,Skylar Mays,1612709931,Ciudad de Mexico Capitanes,5,0,0,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,224,60,1,1,20230207,IWA,MXC
Shot Chart Detail,2022200251,147,1630219,Skylar Mays,1612709931,Ciudad de Mexico Capitanes,1,1,23,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,17,13,1,1,20230209,MHU,MXC
Shot Chart Detail,2022200251,184,1630219,Skylar Mays,1612709931,Ciudad de Mexico Capitanes,2,9,54,Made Shot,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-55,164,1,1,20230209,MHU,MXC
Shot Chart Detail,2022200251,202,1630219,Skylar Mays,1612709931,Ciudad de Mexico Capitanes,2,7,6,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,108,70,1,1,20230209,MHU,MXC
Shot Chart Detail,2022200251,408,1630219,Skylar Mays,1612709931,Ciudad de Mexico Capitanes,3,3,12,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,18,181,57,1,1,20230209,MHU,MXC
Shot Chart Detail,2022200251,415,1630219,Skylar Mays,1612709931,Ciudad de Mexico Capitanes,3,2,43,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-16,24,1,1,20230209,MHU,MXC
Shot Chart Detail,2022200251,421,1630219,Skylar Mays,1612709931,Ciudad de Mexico Capitanes,3,1,44,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,32,38,1,1,20230209,MHU,MXC
Shot Chart Detail,2022200294,100,1630219,Skylar Mays,1612709931,Ciudad de Mexico Capitanes,1,4,5,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,26,16,1,1,20230222,IWA,MXC
Shot Chart Detail,2022200294,214,1630219,Skylar Mays,1612709931,Ciudad de Mexico Capitanes,2,6,59,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,13,25,1,1,20230222,IWA,MXC
Shot Chart Detail,2022200294,302,1630219,Skylar Mays,1612709931,Ciudad de Mexico Capitanes,2,0,50,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,7,21,1,1,20230222,IWA,MXC
Shot Chart Detail,2022200294,423,1630219,Skylar Mays,1612709931,Ciudad de Mexico Capitanes,3,3,38,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,6,263,1,1,20230222,IWA,MXC
Shot Chart Detail,2022200294,426,1630219,Skylar Mays,1612709931,Ciudad de Mexico Capitanes,3,3,7,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,123,10,1,1,20230222,IWA,MXC
Shot Chart Detail,2022200294,584,1630219,Skylar Mays,1612709931,Ciudad de Mexico Capitanes,4,1,42,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-11,26,1,1,20230222,IWA,MXC
Shot Chart Detail,2022200299,108,1630219,Skylar Mays,1612709931,Ciudad de Mexico Capitanes,1,3,33,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-112,235,1,1,20230223,SXF,MXC
Shot Chart Detail,2022200299,215,1630219,Skylar Mays,1612709931,Ciudad de Mexico Capitanes,2,8,9,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,15,262,1,1,20230223,SXF,MXC
Shot Chart Detail,2022200299,220,1630219,Skylar Mays,1612709931,Ciudad de Mexico Capitanes,2,7,42,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,108,16,1,1,20230223,SXF,MXC
Shot Chart Detail,2022200299,314,1630219,Skylar Mays,1612709931,Ciudad de Mexico Capitanes,2,0,3,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-86,241,1,1,20230223,SXF,MXC
Shot Chart Detail,2022200299,359,1630219,Skylar Mays,1612709931,Ciudad de Mexico Capitanes,3,7,18,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,12,1,1,20230223,SXF,MXC
Shot Chart Detail,2022200299,479,1630219,Skylar Mays,1612709931,Ciudad de Mexico Capitanes,4,10,24,Made Shot,Step Back Jump shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,237,-4,1,1,20230223,SXF,MXC
Shot Chart Detail,2022200299,484,1630219,Skylar Mays,1612709931,Ciudad de Mexico Capitanes,4,9,49,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,1,21,1,1,20230223,SXF,MXC
